label,map,median,lower_5,upper_95,best_fit_ml
GWTC-4.0 FullPop,130.28026059545076,133.61693580203544,57.573129086405665,297.97484863470123,
GWTC-5.0 FullPop,65.08514465622271,100.07580795644503,49.88807658685758,202.77919891201657,
GWTC-5.0 PixelPop,,68.27664566040039,39.2487714767456,138.97688369750972,94.18496704101562
