   Frequency       O5aStrain        O5bStrain       O5cStrain
   4.4031200e+00   6.1113039e-19   3.0556522e-19   1.2222630e-19
   4.4071900e+00   6.1487800e-19   3.0743902e-19   1.2297582e-19
   4.4112600e+00   6.1862837e-19   3.0931421e-19   1.2372589e-19
   4.4153400e+00   6.2238283e-19   3.1119144e-19   1.2447678e-19
   4.4194100e+00   6.2614050e-19   3.1307028e-19   1.2522831e-19
   4.4235000e+00   6.2990095e-19   3.1495050e-19   1.2598040e-19
   4.4275800e+00   6.3366567e-19   3.1683286e-19   1.2673334e-19
   4.4316700e+00   6.3743480e-19   3.1871743e-19   1.2748716e-19
   4.4357700e+00   6.4120633e-19   3.2060319e-19   1.2824147e-19
   4.4398600e+00   6.4498212e-19   3.2249108e-19   1.2899662e-19
   4.4439600e+00   6.4876071e-19   3.2438038e-19   1.2975234e-19
   4.4480700e+00   6.5254312e-19   3.2627159e-19   1.3050882e-19
   4.4521800e+00   6.5632876e-19   3.2816440e-19   1.3126595e-19
   4.4562900e+00   6.6011742e-19   3.3005873e-19   1.3202368e-19
   4.4604100e+00   6.6391033e-19   3.3195519e-19   1.3278226e-19
   4.4645300e+00   6.6770694e-19   3.3385349e-19   1.3354158e-19
   4.4686500e+00   6.7150669e-19   3.3575337e-19   1.3430152e-19
   4.4727800e+00   6.7530967e-19   3.3765486e-19   1.3506212e-19
   4.4769100e+00   6.7911788e-19   3.3955896e-19   1.3582376e-19
   4.4810400e+00   6.8292891e-19   3.4146448e-19   1.3658596e-19
   4.4851800e+00   6.8674276e-19   3.4337140e-19   1.3734873e-19
   4.4893300e+00   6.9056064e-19   3.4528034e-19   1.3811231e-19
   4.4934700e+00   6.9421500e-19   3.4710752e-19   1.3884318e-19
   4.4976200e+00   6.9747893e-19   3.4873949e-19   1.3949596e-19
   4.5017800e+00   7.0035389e-19   3.5017697e-19   1.4007095e-19
   4.5059400e+00   7.0284006e-19   3.5142005e-19   1.4056819e-19
   4.5101000e+00   7.0493498e-19   3.5246751e-19   1.4098717e-19
   4.5142600e+00   7.0680820e-19   3.5340412e-19   1.4136181e-19
   4.5184300e+00   7.0868326e-19   3.5434165e-19   1.4173682e-19
   4.5226100e+00   7.1056035e-19   3.5528020e-19   1.4211224e-19
   4.5267800e+00   7.1243988e-19   3.5621996e-19   1.4248814e-19
   4.5309700e+00   7.1432102e-19   3.5716053e-19   1.4286437e-19
   4.5351500e+00   7.1620337e-19   3.5810170e-19   1.4324084e-19
   4.5393400e+00   7.1808790e-19   3.5904397e-19   1.4361774e-19
   4.5435300e+00   7.1997312e-19   3.5998658e-19   1.4399479e-19
