   Frequency       O5aStrain        O5bStrain       O5cStrain
   2.0653000e+01   2.3670497e-23   1.5363745e-23   1.3672740e-23
   2.0672100e+01   2.3628052e-23   1.5340173e-23   1.3652387e-23
   2.0691200e+01   2.3649994e-23   1.5341421e-23   1.3636544e-23
   2.0710300e+01   2.3637740e-23   1.5329516e-23   1.3618383e-23
   2.0729400e+01   2.3683611e-23   1.5340054e-23   1.3604313e-23
   2.0748600e+01   2.3724403e-23   1.5348644e-23   1.3589862e-23
   2.0767700e+01   2.3468852e-23   1.5242961e-23   1.3554926e-23
   2.0786900e+01   2.3501456e-23   1.5248358e-23   1.3539974e-23
   2.0806100e+01   2.3598146e-23   1.5278528e-23   1.3529546e-23
   2.0825300e+01   2.3543773e-23   1.5250438e-23   1.3508650e-23
   2.0844600e+01   2.3606740e-23   1.5267646e-23   1.3495905e-23
   2.0863800e+01   2.3777288e-23   1.5326648e-23   1.3490891e-23
   2.0883100e+01   2.3793496e-23   1.5325905e-23   1.3475012e-23
   2.0902400e+01   2.3827564e-23   1.5332129e-23   1.3460452e-23
   2.0921700e+01   2.3850211e-23   1.5333953e-23   1.3445140e-23
   2.0941000e+01   2.3822082e-23   1.5316057e-23   1.3426276e-23
   2.0960400e+01   2.3535882e-23   1.5198011e-23   1.3389139e-23
   2.0979700e+01   2.3458967e-23   1.5161272e-23   1.3366936e-23
   2.0999100e+01   2.3439734e-23   1.5146834e-23   1.3348745e-23
   2.1018500e+01   2.3436682e-23   1.5138675e-23   1.3331739e-23
   2.1037900e+01   2.3387211e-23   1.5112571e-23   1.3311516e-23
   2.1057300e+01   2.3474528e-23   1.5139449e-23   1.3300973e-23
   2.1076800e+01   2.3466922e-23   1.5129557e-23   1.3283710e-23
   2.1096300e+01   2.3432983e-23   1.5109472e-23   1.3264634e-23
   2.1115700e+01   2.3459064e-23   1.5112720e-23   1.3249934e-23
   2.1135200e+01   2.3909643e-23   1.5281433e-23   1.3265572e-23
   2.1154800e+01   2.4343877e-23   1.5445137e-23   1.3280588e-23
   2.1174300e+01   2.3886395e-23   1.5258757e-23   1.3230874e-23
   2.1193900e+01   2.3490982e-23   1.5097665e-23   1.3186009e-23
   2.1213400e+01   2.3264228e-23   1.5002799e-23   1.3153516e-23
   2.1233000e+01   2.3136535e-23   1.4946484e-23   1.3128054e-23
   2.1252600e+01   2.2716385e-23   1.4777568e-23   1.3082234e-23
   2.1272300e+01   2.2548615e-23   1.4706226e-23   1.3054131e-23
   2.1291900e+01   2.2378346e-23   1.4634121e-23   1.3026036e-23
   2.1311600e+01   2.2164734e-23   1.4545628e-23   1.2994995e-23
   2.1331300e+01   2.1955195e-23   1.4458953e-23   1.2964364e-23
   2.1351000e+01   2.1835533e-23   1.4406570e-23   1.2939921e-23
   2.1370700e+01   2.1770612e-23   1.4374986e-23   1.2919230e-23
   2.1390400e+01   2.1715274e-23   1.4347055e-23   1.2899233e-23
   2.1410200e+01   2.1588948e-23   1.4292286e-23   1.2874431e-23
   2.1430000e+01   2.1570601e-23   1.4278350e-23   1.2856930e-23
   2.1449800e+01   2.1635027e-23   1.4295722e-23   1.2845042e-23
   2.1469600e+01   2.1601181e-23   1.4275960e-23   1.2826591e-23
   2.1489400e+01   2.1516172e-23   1.4236874e-23   1.2804743e-23
   2.1509300e+01   2.1479206e-23   1.4215936e-23   1.2786091e-23
   2.1529100e+01   2.1456707e-23   1.4200515e-23   1.2768536e-23
   2.1549000e+01   2.1416233e-23   1.4178287e-23   1.2749737e-23
   2.1568900e+01   2.1388165e-23   1.4160761e-23   1.2731815e-23
   2.1588900e+01   2.1401872e-23   1.4158996e-23   1.2716667e-23
   2.1608800e+01   2.1476306e-23   1.4180273e-23   1.2705751e-23
   2.1628800e+01   2.1433888e-23   1.4157325e-23   1.2686913e-23
   2.1648700e+01   2.1497616e-23   1.4174635e-23   1.2675385e-23
   2.1668700e+01   2.1763794e-23   1.4269031e-23   1.2677691e-23
   2.1688700e+01   2.2166985e-23   1.4416664e-23   1.2689835e-23
   2.1708800e+01   2.2072055e-23   1.4373477e-23   1.2667405e-23
   2.1728800e+01   2.1485838e-23   1.4142893e-23   1.2611290e-23
   2.1748900e+01   2.1502276e-23   1.4142347e-23   1.2596644e-23
   2.1769000e+01   2.1776946e-23   1.4240310e-23   1.2599806e-23
   2.1789100e+01   2.1862763e-23   1.4266461e-23   1.2590106e-23
   2.1809200e+01   2.1814247e-23   1.4241210e-23   1.2571137e-23
   2.1829400e+01   2.1782442e-23   1.4222343e-23   1.2553294e-23
   2.1849500e+01   2.1720964e-23   1.4192169e-23   1.2533514e-23
   2.1869700e+01   2.1567561e-23   1.4126871e-23   1.2507351e-23
   2.1889900e+01   2.1391617e-23   1.4053132e-23   1.2479726e-23
   2.1910100e+01   2.1204550e-23   1.3975361e-23   1.2451447e-23
   2.1930400e+01   2.0995262e-23   1.3889376e-23   1.2421701e-23
   2.1950600e+01   2.0929366e-23   1.3857766e-23   1.2401816e-23
   2.1970900e+01   2.0711288e-23   1.3768834e-23   1.2371677e-23
   2.1991200e+01   2.0516432e-23   1.3688915e-23   1.2343227e-23
   2.2011500e+01   2.0365291e-23   1.3625575e-23   1.2317787e-23
   2.2031800e+01   2.0145424e-23   1.3536796e-23   1.2287919e-23
   2.2052200e+01   1.9849612e-23   1.3420212e-23   1.2253195e-23
   2.2072600e+01   1.9709415e-23   1.3361559e-23   1.2228721e-23
   2.2093000e+01   1.9588695e-23   1.3310205e-23   1.2205577e-23
   2.2113400e+01   1.9513609e-23   1.3275710e-23   1.2185421e-23
   2.2133800e+01   1.9465348e-23   1.3251105e-23   1.2167028e-23
   2.2154200e+01   1.9331077e-23   1.3194987e-23   1.2143191e-23
   2.2174700e+01   1.9341118e-23   1.3191768e-23   1.2128530e-23
   2.2195200e+01   1.9321603e-23   1.3177735e-23   1.2112028e-23
   2.2215700e+01   1.9400498e-23   1.3199836e-23   1.2101864e-23
   2.2236200e+01   1.9246918e-23   1.3136654e-23   1.2076875e-23
   2.2256700e+01   1.9324627e-23   1.3158325e-23   1.2066713e-23
   2.2277300e+01   1.9288973e-23   1.3138400e-23   1.2049274e-23
   2.2297900e+01   1.9231455e-23   1.3110474e-23   1.2030478e-23
   2.2318500e+01   1.9180346e-23   1.3084923e-23   1.2012135e-23
   2.2339100e+01   1.9141519e-23   1.3063895e-23   1.1994620e-23
   2.2359700e+01   1.8853705e-23   1.2951995e-23   1.1961354e-23
   2.2380400e+01   1.8728288e-23   1.2899547e-23   1.1938413e-23
   2.2401000e+01   1.8484821e-23   1.2804578e-23   1.1908266e-23
   2.2421700e+01   1.8276168e-23   1.2722553e-23   1.1880371e-23
   2.2442400e+01   1.8053740e-23   1.2635960e-23   1.1851780e-23
   2.2463200e+01   1.7873128e-23   1.2564608e-23   1.1825803e-23
   2.2483900e+01   1.7720916e-23   1.2503617e-23   1.1801719e-23
   2.2504700e+01   1.7539768e-23   1.2432574e-23   1.1775930e-23
   2.2525500e+01   1.7323984e-23   1.2349658e-23   1.1748212e-23
   2.2546300e+01   1.7211129e-23   1.2303098e-23   1.1726676e-23
   2.2567100e+01   1.7207178e-23   1.2294687e-23   1.1711586e-23
   2.2588000e+01   1.7200094e-23   1.2285165e-23   1.1696284e-23
   2.2608800e+01   1.7213723e-23   1.2282949e-23   1.1682314e-23
   2.2629700e+01   1.7117150e-23   1.2242143e-23   1.1661829e-23
   2.2650600e+01   1.7045661e-23   1.2210166e-23   1.1642870e-23
   2.2671500e+01   1.7088066e-23   1.2217990e-23   1.1630632e-23
   2.2692500e+01   1.7231219e-23   1.2261181e-23   1.1624336e-23
   2.2713400e+01   1.7326366e-23   1.2287759e-23   1.1615370e-23
   2.2734400e+01   1.7367133e-23   1.2295236e-23   1.1603159e-23
   2.2755400e+01   1.7314731e-23   1.2269853e-23   1.1585417e-23
   2.2776400e+01   1.7285829e-23   1.2252782e-23   1.1569121e-23
   2.2797500e+01   1.7242611e-23   1.2230649e-23   1.1551941e-23
   2.2818500e+01   1.7113496e-23   1.2178356e-23   1.1529760e-23
   2.2839600e+01   1.7017180e-23   1.2137663e-23   1.1509524e-23
   2.2860700e+01   1.6971186e-23   1.2114659e-23   1.1492312e-23
   2.2881800e+01   1.6896868e-23   1.2081771e-23   1.1473473e-23
   2.2903000e+01   1.6845232e-23   1.2056819e-23   1.1455947e-23
   2.2924100e+01   1.6825179e-23   1.2042953e-23   1.1440388e-23
   2.2945300e+01   1.6786891e-23   1.2022704e-23   1.1423728e-23
   2.2966500e+01   1.6701843e-23   1.1986174e-23   1.1404365e-23
   2.2987700e+01   1.6700130e-23   1.1978715e-23   1.1389930e-23
   2.3008900e+01   1.6669854e-23   1.1961319e-23   1.1373860e-23
   2.3030200e+01   1.6685426e-23   1.1959888e-23   1.1360452e-23
   2.3051500e+01   1.6729552e-23   1.1968459e-23   1.1348771e-23
   2.3072700e+01   1.6729102e-23   1.1961524e-23   1.1334575e-23
   2.3094100e+01   1.6715181e-23   1.1949833e-23   1.1319491e-23
   2.3115400e+01   1.6650909e-23   1.1920593e-23   1.1301542e-23
   2.3136700e+01   1.6554960e-23   1.1880351e-23   1.1281777e-23
   2.3158100e+01   1.6386052e-23   1.1814831e-23   1.1257744e-23
   2.3179500e+01   1.6176519e-23   1.1735569e-23   1.1231477e-23
   2.3200900e+01   1.5997855e-23   1.1667308e-23   1.1207124e-23
   2.3222300e+01   1.5831514e-23   1.1603560e-23   1.1183588e-23
   2.3243800e+01   1.5706772e-23   1.1554178e-23   1.1162432e-23
   2.3265300e+01   1.5650063e-23   1.1528009e-23   1.1145164e-23
   2.3286800e+01   1.5662211e-23   1.1525240e-23   1.1131806e-23
   2.3308300e+01   1.5706306e-23   1.1533367e-23   1.1120293e-23
   2.3329800e+01   1.5748096e-23   1.1540768e-23   1.1108703e-23
   2.3351300e+01   1.5815773e-23   1.1557078e-23   1.1098639e-23
   2.3372900e+01   1.5833754e-23   1.1556419e-23   1.1085731e-23
   2.3394500e+01   1.5765554e-23   1.1526278e-23   1.1067944e-23
   2.3416100e+01   1.5665083e-23   1.1485172e-23   1.1048370e-23
   2.3437700e+01   1.5547027e-23   1.1438186e-23   1.1027862e-23
   2.3459400e+01   1.5344157e-23   1.1362627e-23   1.1002616e-23
   2.3481100e+01   1.5220542e-23   1.1314113e-23   1.0981903e-23
   2.3502800e+01   1.5125463e-23   1.1275319e-23   1.0962837e-23
   2.3524500e+01   1.4986102e-23   1.1221820e-23   1.0941398e-23
   2.3546200e+01   1.4783245e-23   1.1147445e-23   1.0916599e-23
   2.3567900e+01   1.4628205e-23   1.1089279e-23   1.0894515e-23
   2.3589700e+01   1.4475050e-23   1.1031961e-23   1.0872568e-23
   2.3611500e+01   1.4425581e-23   1.1008798e-23   1.0856212e-23
   2.3633300e+01   1.4359616e-23   1.0980271e-23   1.0839022e-23
   2.3655100e+01   1.4495935e-23   1.1018061e-23   1.0832634e-23
   2.3677000e+01   1.4526461e-23   1.1021203e-23   1.0820604e-23
   2.3698900e+01   1.4633256e-23   1.1049603e-23   1.0812739e-23
   2.3720700e+01   1.4697118e-23   1.1063972e-23   1.0802689e-23
   2.3742700e+01   1.4735764e-23   1.1069980e-23   1.0791198e-23
   2.3764600e+01   1.4683287e-23   1.1045738e-23   1.0774836e-23
   2.3786500e+01   1.4679066e-23   1.1037557e-23   1.0761145e-23
   2.3808500e+01   1.4656479e-23   1.1023256e-23   1.0746426e-23
   2.3830500e+01   1.4608471e-23   1.1000527e-23   1.0730359e-23
   2.3852500e+01   1.4546133e-23   1.0973076e-23   1.0713553e-23
   2.3874500e+01   1.4470926e-23   1.0941412e-23   1.0696093e-23
   2.3896600e+01   1.4405304e-23   1.0912941e-23   1.0679136e-23
   2.3918700e+01   1.4311789e-23   1.0875335e-23   1.0660725e-23
   2.3940800e+01   1.4245928e-23   1.0846899e-23   1.0643848e-23
   2.3962900e+01   1.4192252e-23   1.0822505e-23   1.0627666e-23
   2.3985000e+01   1.4132898e-23   1.0796287e-23   1.0611223e-23
   2.4007200e+01   1.4109777e-23   1.0781925e-23   1.0596689e-23
   2.4029300e+01   1.4149015e-23   1.0788031e-23   1.0585579e-23
   2.4051500e+01   1.4175987e-23   1.0790131e-23   1.0573798e-23
   2.4073800e+01   1.4264998e-23   1.0812677e-23   1.0565345e-23
   2.4096000e+01   1.4303548e-23   1.0818716e-23   1.0554288e-23
   2.4118300e+01   1.4331643e-23   1.0821317e-23   1.0542652e-23
   2.4140500e+01   1.4332791e-23   1.0815055e-23   1.0529649e-23
   2.4162800e+01   1.4277150e-23   1.0789975e-23   1.0513535e-23
   2.4185100e+01   1.4202441e-23   1.0758636e-23   1.0496429e-23
   2.4207500e+01   1.4126591e-23   1.0726953e-23   1.0479249e-23
   2.4229800e+01   1.4060782e-23   1.0698662e-23   1.0462715e-23
   2.4252200e+01   1.4019270e-23   1.0678360e-23   1.0447469e-23
   2.4274600e+01   1.3973602e-23   1.0656720e-23   1.0432037e-23
   2.4297100e+01   1.3930964e-23   1.0636069e-23   1.0416747e-23
   2.4319500e+01   1.3890913e-23   1.0616320e-23   1.0401690e-23
   2.4342000e+01   1.3876332e-23   1.0604892e-23   1.0387972e-23
   2.4364400e+01   1.3886402e-23   1.0601577e-23   1.0375666e-23
   2.4386900e+01   1.3863694e-23   1.0587518e-23   1.0361585e-23
   2.4409500e+01   1.3853476e-23   1.0577535e-23   1.0348150e-23
   2.4432000e+01   1.3835933e-23   1.0565197e-23   1.0334415e-23
   2.4454600e+01   1.3858218e-23   1.0565895e-23   1.0322795e-23
   2.4477200e+01   1.3883593e-23   1.0567641e-23   1.0311381e-23
   2.4499800e+01   1.3918035e-23   1.0572408e-23   1.0300499e-23
   2.4522400e+01   1.3979024e-23   1.0585981e-23   1.0291103e-23
   2.4545100e+01   1.4063168e-23   1.0607289e-23   1.0282973e-23
   2.4567700e+01   1.4137439e-23   1.0625487e-23   1.0274429e-23
   2.4590400e+01   1.4222720e-23   1.0647453e-23   1.0266504e-23
   2.4613100e+01   1.4315268e-23   1.0672002e-23   1.0259058e-23
   2.4635900e+01   1.4409803e-23   1.0697357e-23   1.0251748e-23
   2.4658600e+01   1.4493511e-23   1.0719249e-23   1.0243962e-23
   2.4681400e+01   1.4552260e-23   1.0732789e-23   1.0234771e-23
   2.4704200e+01   1.4632961e-23   1.0753878e-23   1.0226892e-23
   2.4727000e+01   1.4668754e-23   1.0759780e-23   1.0216500e-23
   2.4749900e+01   1.4699060e-23   1.0763828e-23   1.0205782e-23
   2.4772700e+01   1.4735212e-23   1.0769944e-23   1.0195499e-23
   2.4795600e+01   1.4720574e-23   1.0758691e-23   1.0182264e-23
   2.4818500e+01   1.4708876e-23   1.0748457e-23   1.0169234e-23
   2.4841400e+01   1.4667538e-23   1.0728102e-23   1.0154523e-23
   2.4864400e+01   1.4631863e-23   1.0709676e-23   1.0140121e-23
   2.4887400e+01   1.4517071e-23   1.0664304e-23   1.0121203e-23
   2.4910300e+01   1.4357164e-23   1.0603812e-23   1.0099836e-23
   2.4933400e+01   1.4200781e-23   1.0544733e-23   1.0078667e-23
   2.4956400e+01   1.3995743e-23   1.0469676e-23   1.0054939e-23
   2.4979400e+01   1.3839984e-23   1.0411470e-23   1.0034087e-23
   2.5002500e+01   1.3654753e-23   1.0343784e-23   1.0011675e-23
   2.5025600e+01   1.3527913e-23   1.0295664e-23   9.9925555e-24
   2.5048700e+01   1.3424250e-23   1.0255314e-23   9.9747598e-24
   2.5071900e+01   1.3360985e-23   1.0228242e-23   9.9591370e-24
   2.5095000e+01   1.3289122e-23   1.0198445e-23   9.9431481e-24
   2.5118200e+01   1.3172541e-23   1.0154163e-23   9.9247731e-24
   2.5141400e+01   1.3097106e-23   1.0123341e-23   9.9086404e-24
   2.5164600e+01   1.3002569e-23   1.0086429e-23   9.8915478e-24
   2.5187900e+01   1.2918838e-23   1.0053067e-23   9.8750236e-24
   2.5211100e+01   1.2823579e-23   1.0016128e-23   9.8580008e-24
   2.5234400e+01   1.2760258e-23   9.9894645e-24   9.8426363e-24
   2.5257700e+01   1.2681681e-23   9.9579927e-24   9.8265247e-24
   2.5281100e+01   1.2608757e-23   9.9283649e-24   9.8106993e-24
   2.5304400e+01   1.2565358e-23   9.9081859e-24   9.7964835e-24
   2.5327800e+01   1.2507554e-23   9.8834484e-24   9.7815145e-24
   2.5351200e+01   1.2481618e-23   9.8688234e-24   9.7682118e-24
   2.5374600e+01   1.2429997e-23   9.8461038e-24   9.7536312e-24
   2.5398000e+01   1.2404218e-23   9.8315665e-24   9.7404025e-24
   2.5421500e+01   1.2361092e-23   9.8115526e-24   9.7262730e-24
   2.5445000e+01   1.2345679e-23   9.8002883e-24   9.7135858e-24
   2.5468500e+01   1.2319625e-23   9.7856885e-24   9.7003900e-24
   2.5492000e+01   1.2370969e-23   9.7954960e-24   9.6911670e-24
   2.5515600e+01   1.2352300e-23   9.7832180e-24   9.6783598e-24
   2.5539100e+01   1.2483761e-23   9.8185303e-24   9.6733412e-24
   2.5562700e+01   1.2435321e-23   9.7968154e-24   9.6590620e-24
   2.5586300e+01   1.2440573e-23   9.7921649e-24   9.6475828e-24
   2.5610000e+01   1.2427631e-23   9.7817254e-24   9.6351481e-24
   2.5633600e+01   1.2373138e-23   9.7581421e-24   9.6206536e-24
   2.5657300e+01   1.2199382e-23   9.6969513e-24   9.6000568e-24
   2.5681000e+01   1.2098767e-23   9.6590382e-24   9.5832718e-24
   2.5704700e+01   1.1980199e-23   9.6156650e-24   9.5656464e-24
   2.5728500e+01   1.1899053e-23   9.5840608e-24   9.5499073e-24
   2.5752200e+01   1.1908894e-23   9.5807797e-24   9.5387932e-24
   2.5776000e+01   1.1901184e-23   9.5720365e-24   9.5267865e-24
   2.5799800e+01   1.1936689e-23   9.5767591e-24   9.5169760e-24
   2.5823600e+01   1.1995058e-23   9.5886791e-24   9.5083600e-24
   2.5847500e+01   1.2106289e-23   9.6172813e-24   9.5024366e-24
   2.5871400e+01   1.2061661e-23   9.5969778e-24   9.4886347e-24
   2.5895300e+01   1.2093781e-23   9.6008267e-24   9.4787724e-24
   2.5919200e+01   1.2147207e-23   9.6114496e-24   9.4700421e-24
   2.5943100e+01   1.2145846e-23   9.6048114e-24   9.4585414e-24
   2.5967100e+01   1.2199132e-23   9.6154726e-24   9.4498405e-24
   2.5991100e+01   1.2141773e-23   9.5911034e-24   9.4354700e-24
   2.6015100e+01   1.2126869e-23   9.5801993e-24   9.4233190e-24
   2.6039100e+01   1.2130357e-23   9.5751318e-24   9.4121463e-24
   2.6063200e+01   1.2089424e-23   9.5559913e-24   9.3986692e-24
   2.6087200e+01   1.2060995e-23   9.5408528e-24   9.3859147e-24
   2.6111300e+01   1.2140186e-23   9.5597825e-24   9.3786932e-24
   2.6135500e+01   1.2151543e-23   9.5572356e-24   9.3679623e-24
   2.6159600e+01   1.2172038e-23   9.5576454e-24   9.3577864e-24
   2.6183800e+01   1.2225295e-23   9.5685177e-24   9.3493110e-24
   2.6208000e+01   1.2289031e-23   9.5828298e-24   9.3414360e-24
   2.6232200e+01   1.2341343e-23   9.5935715e-24   9.3330119e-24
   2.6256400e+01   1.2319261e-23   9.5804346e-24   9.3206923e-24
   2.6280600e+01   1.2355133e-23   9.5859604e-24   9.3114722e-24
   2.6304900e+01   1.2388518e-23   9.5907085e-24   9.3021146e-24
   2.6329200e+01   1.2407277e-23   9.5907705e-24   9.2920148e-24
   2.6353500e+01   1.2422468e-23   9.5897060e-24   9.2817584e-24
   2.6377900e+01   1.2390792e-23   9.5734606e-24   9.2689795e-24
   2.6402200e+01   1.2349122e-23   9.5540279e-24   9.2557430e-24
   2.6426600e+01   1.2325290e-23   9.5403547e-24   9.2434441e-24
   2.6451000e+01   1.2078607e-23   9.4551397e-24   9.2193964e-24
   2.6475500e+01   1.1990514e-23   9.4210294e-24   9.2037625e-24
   2.6499900e+01   1.1923261e-23   9.3936561e-24   9.1893054e-24
   2.6524400e+01   1.1876066e-23   9.3726688e-24   9.1758816e-24
   2.6548900e+01   1.1834002e-23   9.3533365e-24   9.1627566e-24
   2.6573400e+01   1.1788556e-23   9.3329629e-24   9.1494895e-24
   2.6598000e+01   1.1784604e-23   9.3256903e-24   9.1383477e-24
   2.6622500e+01   1.1774155e-23   9.3164033e-24   9.1269444e-24
   2.6647100e+01   1.1764247e-23   9.3072761e-24   9.1155539e-24
   2.6671700e+01   1.1741207e-23   9.2940130e-24   9.1035146e-24
   2.6696400e+01   1.1743099e-23   9.2886155e-24   9.0927474e-24
   2.6721000e+01   1.1758092e-23   9.2874038e-24   9.0827324e-24
   2.6745700e+01   1.1748908e-23   9.2785352e-24   9.0714526e-24
   2.6770400e+01   1.1821470e-23   9.2956153e-24   9.0644526e-24
   2.6795200e+01   1.1843663e-23   9.2967388e-24   9.0548293e-24
   2.6819900e+01   1.1824876e-23   9.2848574e-24   9.0431369e-24
   2.6844700e+01   1.1819030e-23   9.2770859e-24   9.0321067e-24
   2.6869500e+01   1.1795765e-23   9.2637806e-24   9.0201936e-24
   2.6894300e+01   1.1803439e-23   9.2603408e-24   9.0099284e-24
   2.6919100e+01   1.1791284e-23   9.2505986e-24   8.9986537e-24
   2.6944000e+01   1.1821465e-23   9.2543511e-24   8.9895878e-24
   2.6968900e+01   1.1743691e-23   9.2236898e-24   8.9748843e-24
   2.6993800e+01   1.1809885e-23   9.2389506e-24   8.9677664e-24
   2.7018700e+01   1.1855394e-23   9.2476905e-24   8.9596085e-24
   2.7043700e+01   1.1912326e-23   9.2601466e-24   8.9520598e-24
   2.7068700e+01   1.2026007e-23   9.2910299e-24   8.9476049e-24
   2.7093700e+01   1.2075971e-23   9.3014641e-24   8.9397956e-24
   2.7118700e+01   1.2115613e-23   9.3086126e-24   8.9314715e-24
   2.7143800e+01   1.2149122e-23   9.3137933e-24   8.9228119e-24
   2.7168800e+01   1.2144427e-23   9.3065677e-24   8.9121462e-24
   2.7193900e+01   1.2117877e-23   9.2922035e-24   8.9002759e-24
   2.7219000e+01   1.2395151e-23   9.3775521e-24   8.9051581e-24
   2.7244200e+01   1.3008274e-23   9.5773947e-24   8.9297205e-24
   2.7269300e+01   1.4049923e-23   9.9331610e-24   8.9824175e-24
   2.7294500e+01   1.5453672e-23   1.0436304e-23   9.0640473e-24
   2.7319700e+01   1.7275545e-23   1.1122892e-23   9.1847325e-24
   2.7345000e+01   1.9459039e-23   1.1986086e-23   9.3479898e-24
   2.7370200e+01   2.1805435e-23   1.2952521e-23   9.5433991e-24
   2.7395500e+01   2.4716224e-23   1.4195677e-23   9.8138519e-24
   2.7420800e+01   2.8124809e-23   1.5698459e-23   1.0165410e-23
   2.7446200e+01   3.1994200e-23   1.7449746e-23   1.0604709e-23
   2.7471500e+01   3.4883595e-23   1.8780296e-23   1.0954910e-23
   2.7496900e+01   3.6437769e-23   1.9501478e-23   1.1147405e-23
   2.7522300e+01   3.6659784e-23   1.9602598e-23   1.1168494e-23
   2.7547700e+01   3.5605552e-23   1.9107933e-23   1.1023159e-23
   2.7573100e+01   3.3285552e-23   1.8029252e-23   1.0720997e-23
   2.7598600e+01   3.0685984e-23   1.6833804e-23   1.0397629e-23
   2.7624100e+01   2.7940027e-23   1.5589380e-23   1.0074464e-23
   2.7649600e+01   2.4955334e-23   1.4263868e-23   9.7469987e-24
   2.7675200e+01   2.1772495e-23   1.2890862e-23   9.4275718e-24
   2.7700700e+01   1.8479052e-23   1.1529600e-23   9.1324720e-24
   2.7726300e+01   1.5870914e-23   1.0508718e-23   8.9243513e-24
   2.7751900e+01   1.4044173e-23   9.8321185e-24   8.7911560e-24
   2.7777600e+01   1.2823359e-23   9.4005095e-24   8.7062436e-24
   2.7803200e+01   1.2190378e-23   9.1821065e-24   8.6598479e-24
   2.7828900e+01   1.2068029e-23   9.1361271e-24   8.6430238e-24
   2.7854600e+01   1.1910263e-23   9.0787188e-24   8.6243159e-24
   2.7880300e+01   1.1797397e-23   9.0362915e-24   8.6081788e-24
   2.7906100e+01   1.1645801e-23   8.9814472e-24   8.5899670e-24
   2.7931900e+01   1.1487241e-23   8.9246863e-24   8.5714892e-24
   2.7957700e+01   1.1479514e-23   8.9166476e-24   8.5611683e-24
   2.7983500e+01   1.1348231e-23   8.8689704e-24   8.5442765e-24
   2.8009300e+01   1.1254894e-23   8.8336167e-24   8.5294704e-24
   2.8035200e+01   1.1157061e-23   8.7969387e-24   8.5144440e-24
   2.8061100e+01   1.1040723e-23   8.7545608e-24   8.4985123e-24
   2.8087000e+01   1.1019814e-23   8.7423767e-24   8.4875888e-24
   2.8113000e+01   1.1023900e-23   8.7380623e-24   8.4779520e-24
   2.8138900e+01   1.1020909e-23   8.7315522e-24   8.4680117e-24
   2.8164900e+01   1.0985897e-23   8.7149334e-24   8.4563937e-24
   2.8190900e+01   1.0988576e-23   8.7102110e-24   8.4467616e-24
   2.8217000e+01   1.0982316e-23   8.7026618e-24   8.4366534e-24
   2.8243000e+01   1.0978058e-23   8.6957782e-24   8.4267129e-24
   2.8269100e+01   1.0884925e-23   8.6608927e-24   8.4121437e-24
   2.8295200e+01   1.0870529e-23   8.6508160e-24   8.4016896e-24
   2.8321400e+01   1.0862610e-23   8.6427648e-24   8.3915593e-24
   2.8347500e+01   1.0888077e-23   8.6452487e-24   8.3832237e-24
   2.8373700e+01   1.0955090e-23   8.6608700e-24   8.3770525e-24
   2.8399900e+01   1.1030134e-23   8.6791611e-24   8.3713586e-24
   2.8426200e+01   1.1123610e-23   8.7034587e-24   8.3666678e-24
   2.8452400e+01   1.1256208e-23   8.7405592e-24   8.3641924e-24
   2.8478700e+01   1.1310601e-23   8.7526848e-24   8.3575538e-24
   2.8505000e+01   1.1331850e-23   8.7541600e-24   8.3491593e-24
   2.8531300e+01   1.1296364e-23   8.7373001e-24   8.3377135e-24
   2.8557700e+01   1.1170170e-23   8.6912263e-24   8.3213701e-24
   2.8584100e+01   1.1041933e-23   8.6447320e-24   8.3049996e-24
   2.8610500e+01   1.0895439e-23   8.5926915e-24   8.2877520e-24
   2.8636900e+01   1.0785045e-23   8.5523492e-24   8.2724884e-24
   2.8663400e+01   1.0734729e-23   8.5310373e-24   8.2603709e-24
   2.8689800e+01   1.0632637e-23   8.4935563e-24   8.2456436e-24
   2.8716300e+01   1.0549461e-23   8.4621062e-24   8.2319100e-24
   2.8742900e+01   1.0467765e-23   8.4312001e-24   8.2182634e-24
   2.8769400e+01   1.0360421e-23   8.3924955e-24   8.2034015e-24
   2.8796000e+01   1.0344701e-23   8.3821444e-24   8.1931780e-24
   2.8822600e+01   1.0327357e-23   8.3713040e-24   8.1828974e-24
   2.8849200e+01   1.0307859e-23   8.3598123e-24   8.1725329e-24
   2.8875900e+01   1.0297243e-23   8.3510499e-24   8.1626059e-24
   2.8902500e+01   1.0241224e-23   8.3283424e-24   8.1504516e-24
   2.8929200e+01   1.0157371e-23   8.2971384e-24   8.1369037e-24
   2.8955900e+01   1.0070902e-23   8.2652493e-24   8.1232739e-24
   2.8982700e+01   9.9648887e-24   8.2275390e-24   8.1086973e-24
   2.9009500e+01   9.8480419e-24   8.1867565e-24   8.0936585e-24
   2.9036300e+01   9.7365336e-24   8.1478010e-24   8.0789523e-24
   2.9063100e+01   9.6625959e-24   8.1202218e-24   8.0661138e-24
   2.9089900e+01   9.5980774e-24   8.0955260e-24   8.0537665e-24
   2.9116800e+01   9.5833387e-24   8.0856056e-24   8.0437885e-24
   2.9143700e+01   9.6226070e-24   8.0917241e-24   8.0364145e-24
   2.9170600e+01   9.6615488e-24   8.0978056e-24   8.0290608e-24
   2.9197600e+01   9.8024891e-24   8.1345521e-24   8.0266672e-24
   2.9224500e+01   9.9198670e-24   8.1646160e-24   8.0232745e-24
